window_index,window_t_start,window_t_end,date_point,R_e_median,R_e_q0025,R_e_q0975
1,2,8,2020-03-07,5.121700112299306,2.3373694235197613,9.363505077935644
2,3,9,2020-03-08,4.6026737053039986,2.377330001771926,7.797763998646152
3,4,10,2020-03-09,3.5886837107076413,1.9430451340083572,6.074854140602319
4,5,11,2020-03-10,2.4776422492398256,1.377142159901877,3.9525831737372132
5,6,12,2020-03-11,2.6256789379054766,1.7091383687750235,3.869461526125447
6,7,13,2020-03-12,2.7438703316465225,1.8677778431483358,3.827149324796189
7,8,14,2020-03-13,3.0135805995400022,2.139009754625707,4.07773751396702
8,9,15,2020-03-14,3.4764547876610745,2.377712848424842,4.70246719672338
9,10,16,2020-03-15,3.6804454091541463,2.482435866656052,5.207178793704746
10,11,17,2020-03-16,3.6024519592245525,2.3238562433203636,5.161021264260317
11,12,18,2020-03-17,3.547715456534987,2.346611943010289,5.142614664824358
12,13,19,2020-03-18,3.6216565886868,2.448528637625583,5.194756293857402
13,14,20,2020-03-19,3.1145413656105863,2.029127470067764,4.514943268692168
14,15,21,2020-03-20,2.9182024527173756,1.9573956989432524,4.112202959054059
15,16,22,2020-03-21,2.6779319824393646,1.9090754434552866,3.637561611987557
16,17,23,2020-03-22,2.492731003296101,1.8563967039790739,3.2922226335885556
17,18,24,2020-03-23,2.50701759296519,1.8553972584135612,3.220336489283023
18,19,25,2020-03-24,2.2265095684492104,1.6959453476895248,2.854069858599879
19,20,26,2020-03-25,2.1682587502325044,1.7134611170660006,2.6993079359187875
20,21,27,2020-03-26,2.1226798437678953,1.6741401603953743,2.638323912845655
21,22,28,2020-03-27,2.057836847933541,1.6465200165616667,2.5166786584064953
22,23,29,2020-03-28,2.056930445266453,1.6590630780543576,2.441990763428605
